,start,end,pitch,velocity
0,1.931640625,2.640625,62.0,104.0
1,2.400390625,3.009765625,66.0,90.0
2,2.869140625,3.30859375,69.0,87.0
3,3.337890625,3.6484375,74.0,104.0
4,4.509765625,4.6328125,64.0,80.0
5,4.744140625,4.9921875,66.0,86.0
6,4.978515625,5.2421875,64.0,84.0
7,4.275390625,5.296875,57.0,83.0
8,3.806640625,5.34765625,50.0,96.0
9,5.212890625,5.681640625,62.0,88.0
10,6.619140625,6.8203125,61.0,106.0
11,6.853515625,6.986328125,62.0,86.0
12,6.970703125,7.078125,61.0,85.0
13,5.681640625,7.16015625,45.0,82.0
14,7.087890625,7.47265625,57.0,88.0
15,6.150390625,7.5390625,52.0,63.0
16,8.025390625,8.697265625,54.0,71.0
17,8.259765625,8.732421875,62.0,110.0
18,8.728515625,9.19921875,59.0,86.0
19,9.197265625,9.60546875,61.0,103.0
20,9.666015625,9.904296875,54.0,73.0
21,10.134765625,10.25390625,54.0,109.0
22,10.369140625,10.52734375,58.0,91.0
23,7.556640625,10.736328125,47.0,87.0
24,10.603515625,10.859375,59.0,92.0
25,10.837890625,11.060546875,61.0,109.0
26,11.306640625,11.8828125,66.0,113.0
27,11.775390625,12.240234375,55.0,78.0
28,12.009765625,12.6484375,62.0,91.0
29,11.306640625,12.87109375,43.0,87.0
30,11.541015625,13.068359375,50.0,74.0
31,12.478515625,13.1015625,55.0,84.0
32,12.712890625,13.181640625,66.0,86.0
33,13.650390625,14.158203125,57.0,83.0
34,13.884765625,14.64453125,64.0,86.0
35,14.587890625,14.818359375,62.0,84.0
36,13.181640625,14.8671875,45.0,84.0
37,13.416015625,14.91796875,52.0,77.0
38,14.353515625,14.98046875,57.0,81.0
39,14.822265625,15.0390625,61.0,81.0
40,15.525390625,16.07421875,57.0,78.0
41,15.994140625,16.630859375,66.0,97.0
42,16.697265625,16.873046875,62.0,78.0
43,16.462890625,17.00390625,57.0,69.0
44,16.931640625,17.404296875,67.0,116.0
45,17.400390625,17.619140625,66.0,83.0
46,17.400390625,17.794921875,57.0,38.0
47,17.634765625,18.119140625,62.0,86.0
48,15.056640625,18.423828125,50.0,88.0
49,18.103515625,18.4453125,57.0,77.0
50,18.337890625,18.50390625,62.0,88.0
51,19.744140625,20.21875,66.0,109.0
52,19.275390625,20.720703125,57.0,71.0
53,20.212890625,20.744140625,62.0,79.0
54,18.806640625,20.75390625,50.0,92.0
55,20.447265625,20.89453125,66.0,84.0
56,21.384765625,21.705078125,57.0,85.0
57,21.619140625,22.009765625,61.0,109.0
58,20.681640625,22.1640625,45.0,74.0
59,22.087890625,22.322265625,64.0,86.0
60,21.853515625,22.451171875,57.0,88.0
61,21.150390625,22.4921875,52.0,62.0
62,22.322265625,23.080078125,66.0,85.0
63,23.259765625,23.8984375,59.0,81.0
64,23.494140625,24.216796875,64.0,98.0
65,23.962890625,24.29296875,59.0,72.0
66,23.025390625,25.056640625,54.0,78.0
67,24.197265625,25.126953125,62.0,88.0
68,25.134765625,25.443359375,61.0,81.0
69,25.369140625,25.83984375,54.0,91.0
70,25.603515625,25.853515625,61.0,106.0
71,22.556640625,25.919921875,47.0,85.0
72,25.837890625,26.20703125,62.0,85.0
73,27.009765625,27.337890625,55.0,88.0
74,27.244140625,27.630859375,59.0,104.0
75,26.306640625,27.833984375,43.0,91.0
76,26.775390625,28.123046875,50.0,74.0
77,27.478515625,28.154296875,55.0,87.0
78,27.712890625,28.220703125,62.0,107.0
79,29.119140625,29.63671875,61.0,103.0
80,28.181640625,29.73828125,45.0,86.0
81,28.650390625,29.783203125,52.0,72.0
82,29.587890625,29.8828125,62.0,85.0
83,28.884765625,29.92578125,57.0,85.0
84,29.822265625,30.087890625,64.0,87.0
85,30.525390625,31.080078125,57.0,74.0
86,30.994140625,31.91796875,64.0,91.0
87,31.462890625,32.298828125,57.0,61.0
88,31.931640625,32.6328125,66.0,83.0
89,32.634765625,32.921875,57.0,87.0
90,32.869140625,33.2109375,62.0,113.0
91,33.103515625,33.359375,57.0,87.0
92,30.056640625,33.42578125,50.0,89.0
93,33.337890625,33.68359375,64.0,104.0
94,33.572265625,33.744140625,66.0,85.0
95,34.509765625,34.84375,55.0,88.0
96,33.806640625,35.380859375,43.0,107.0
97,34.744140625,35.412109375,62.0,116.0
